epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.41,1.10249,2.6165,1.62246,0.98041,0.70619,0.82864,0.64006,0.94168,1.99706,1.35847,0.000661157,0.000661157,0.000661157
2,539.062,0.93643,1.91805,1.43354,0.95188,0.80928,0.85787,0.66454,0.95,1.63776,1.34948,0.00119637,0.00119637,0.00119637
3,667.242,0.94673,1.69147,1.46229,0.81114,0.70103,0.80853,0.63174,0.95215,2.65911,1.41763,0.00159958,0.00159958,0.00159958
4,770.193,0.86217,1.53774,1.37264,0.92543,0.7677,0.92579,0.71166,0.8935,1.34621,1.17612,0.001406,0.001406,0.001406
5,873.65,0.77431,1.31376,1.30737,0.80452,0.85567,0.87714,0.68154,1.04265,1.26497,1.61427,0.001208,0.001208,0.001208
6,975.421,0.75524,1.17381,1.31245,0.96355,0.81764,0.91632,0.7513,0.79584,1.00593,1.15652,0.00101,0.00101,0.00101
7,1093.9,0.70001,1.05019,1.25504,0.91335,0.86598,0.93826,0.76172,0.77647,0.91685,1.20268,0.000812,0.000812,0.000812
8,1208.72,0.69725,0.94964,1.26455,0.9034,0.78866,0.90897,0.78035,0.72233,0.96694,1.08054,0.000614,0.000614,0.000614
9,1319.65,0.63661,0.91998,1.19947,0.87851,0.79381,0.9194,0.78613,0.65566,0.88967,1.01422,0.000416,0.000416,0.000416
10,1434.18,0.62962,0.84565,1.17379,0.86737,0.87113,0.94352,0.8141,0.6259,0.81344,1.02839,0.000218,0.000218,0.000218
